rank,label,asset_type,market_cap,source,confidence
1,005930.KS,company,216500000000000.0,yfinance,Medium
2,ASML,company,1448649291992.1875,yfinance,Medium
3,RELIANCE.NS,company,1393900024414.0625,yfinance,Medium
4,Gold,metal,989918979492.1876,manual/yfinance,Medium
5,META,company,648179992675.7812,yfinance,Medium
6,bitcoin,crypto,505000000000.0,coingecko,High
7,Platinum,metal,420560009765.625,manual/yfinance,Medium
8,TSLA,company,402510009765.625,yfinance,Medium
9,MSFT,company,391845611572.2656,yfinance,Medium
10,TSM,company,374579986572.2656,yfinance,Medium
11,GOOGL,company,311760009765.625,yfinance,Medium
12,JPM,company,300299987792.96875,yfinance,Medium
13,AAPL,company,263933013916.01562,yfinance,Medium
14,Palladium,metal,253245007324.21875,manual/yfinance,Medium
15,AMZN,company,210000000000.0,yfinance,Medium
16,SAP,company,201529998779.29688,yfinance,Medium
17,NVDA,company,177190002441.40625,yfinance,Medium
18,BABA,company,144110000610.35156,yfinance,Medium
19,Silver,metal,137007501602.17284,manual/yfinance,Medium
20,WMT,company,127949996948.2422,yfinance,Medium
